name,slug,category,province,regency,district,village,address,latitude,longitude,price_min,price_max,is_free,opening_time,closing_time,is_open_24h,days_open,facilities,images,rating,review_count,popularity,visitor_count,safety,cleanliness,beauty,road_access,crowd_level,hidden_gem_score,phone,is_trending,is_featured,_real
Air Terjun Gitgit,air-terjun-gitgit,air-terjun,Bali,Buleleng,Kecamatan Sumberrejo,Kampung Karang Sari,"Air Terjun Gitgit, Kabupaten Buleleng, Provinsi Bali, Indonesia",-8.1913,115.1347,4372.76,5068.34,False,08:00,22:00,False,fri|mon|sun|thu|tue|wed,anak|parkir|spot_foto|warung_makan,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Air_Terjun_Gitgit.jpg/960px-Air_Terjun_Gitgit.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Gitgit%20Waterfall%2C%20Campuhan%20area%2C%20Bali%2C%20Indonesia.jpg?width=800|https://loremflickr.com/800/600/waterfall,indonesia?lock=3181065890|https://loremflickr.com/800/600/waterfall,indonesia?lock=3181065897",5.0,139,25,28002,3.45,4.47,4.57,1.56,2.19,83.51,08441728977,False,False,
air terjun Dago,air-terjun-dago,air-terjun,Jawa Barat,Kota Bandung,Kecamatan Cikole,Kelurahan Cihideung,"air terjun Dago, Kota Bandung, Provinsi Jawa Barat, Indonesia",-6.865325,107.618149,0,,True,06:00,17:00,False,fri|mon|sat|sun|thu|tue|wed,gazebo|papan_informasi|parkir|spot_foto|warung_makan,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Taman_Hutan_Raya_IR_Djuanda.jpg/960px-Taman_Hutan_Raya_IR_Djuanda.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Curug%20Dago.jpg?width=800|https://loremflickr.com/800/600/waterfall,indonesia?lock=201293248|https://loremflickr.com/800/600/waterfall,indonesia?lock=201293255",5.0,189,44,65032,4.66,4.24,4.97,2.45,2.88,78.51,08994684531,False,False,
Air terjun Madakaripura,air-terjun-madakaripura,air-terjun,Jawa Timur,Kota Probolinggo,Kecamatan Sumberjaya,Kampung Mekar Sari,"Air terjun Madakaripura, Kota Probolinggo, Provinsi Jawa Timur, Indonesia",-7.844722,113.0175,18290.95,21899.79,False,08:00,19:00,False,fri|mon|sat|sun|thu|tue|wed,papan_informasi|spot_foto|warung_makan,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Madakaripura_Waterfall_-_Indonesia.jpg/960px-Madakaripura_Waterfall_-_Indonesia.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Waterfall%20Madakaripura%20B.JPG?width=800|https://loremflickr.com/800/600/waterfall,indonesia?lock=3544378303|https://loremflickr.com/800/600/waterfall,indonesia?lock=3544378310",5.0,352,64,163628,3.54,3.42,4.07,1.58,2.29,72.18,08709877065,True,False,
Air Terjun Sipisopiso,air-terjun-sipisopiso,air-terjun,Aceh,Aceh Tenggara,Kecamatan Sukamaju,Desa Sukamaju,"Air Terjun Sipisopiso, Kabupaten Aceh Tenggara, Provinsi Aceh, Indonesia",2.9162,98.5196,14393.61,,False,08:00,17:00,False,fri|mon|sat|sun|thu|tue|wed,gazebo|papan_informasi|parkir|spot_foto|warung_makan,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/AIR_TERJUN_SIPISO-PISO_%28SUMUT%29.jpg/960px-AIR_TERJUN_SIPISO-PISO_%28SUMUT%29.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Sipiso-Piso%20Falls%20Front%20View.jpg?width=800|https://loremflickr.com/800/600/waterfall,indonesia?lock=2077155012|https://loremflickr.com/800/600/waterfall,indonesia?lock=2077155019",5.0,28,9,19597,4.5,4.54,4.62,1.79,3.71,80.27,08505017343,False,False,
Air Terjun Baruttung,air-terjun-baruttung,air-terjun,Sulawesi Selatan,Bone,Kecamatan Pangalengan,Desa Cihideung,"Air Terjun Baruttung, Kabupaten Bone, Provinsi Sulawesi Selatan, Indonesia",-4.77686,120.224876,17448.66,24976.66,False,08:00,18:00,False,fri|mon|sat|sun|thu|tue|wed,papan_informasi|parkir|warung_makan,"https://loremflickr.com/800/600/waterfall,indonesia?lock=2636253202|https://loremflickr.com/800/600/waterfall,indonesia?lock=2636253209|https://loremflickr.com/800/600/waterfall,indonesia?lock=2636253215|https://loremflickr.com/800/600/waterfall,indonesia?lock=2636253231",5.0,80,32,29667,3.14,4.52,4.94,1.71,2.71,80.54,08911987737,False,True,
Air Terjun Telun Berasap,air-terjun-telun-berasap,air-terjun,Sumatera Barat,Pesisir Selatan,Kecamatan Margasari,Kelurahan Cipedes,"Air Terjun Telun Berasap, Kabupaten Pesisir Selatan, Provinsi Sumatera Barat, Indonesia",-1.68881,101.338381,0,,True,06:00,22:00,False,fri|mon|sat|sun|thu|tue|wed,papan_informasi|parkir|spot_foto|warung_makan,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Air_Terjun_Telun_Berasap.jpg/960px-Air_Terjun_Telun_Berasap.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Air%20Terjun%20Telun%20Berasap.jpg?width=800|https://loremflickr.com/800/600/waterfall,indonesia?lock=4258796058|https://loremflickr.com/800/600/waterfall,indonesia?lock=4258796065",5.0,17,3,12663,4.34,3.43,4.83,1.68,2.1,86.78,08705191056,False,False,
Air terjun Sikarim,air-terjun-sikarim,air-terjun,Jawa Tengah,Wonosobo,Kecamatan Sukamaju,Kampung Sukamulya,"Air terjun Sikarim, Kabupaten Wonosobo, Provinsi Jawa Tengah, Indonesia",-7.24236,109.90708,0,,True,06:00,22:00,False,fri|mon|sat|sun|thu|tue|wed,papan_informasi|parkir|warung_makan,"https://upload.wikimedia.org/wikipedia/id/thumb/f/fa/Si_Karim.jpg/960px-Si_Karim.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Air%20Terjun%20Sikarim.jpg?width=800|https://loremflickr.com/800/600/waterfall,indonesia?lock=1647406149|https://loremflickr.com/800/600/waterfall,indonesia?lock=1647406156",5.0,91,31,73031,3.03,3.19,3.92,3.13,2.85,71.34,08783641282,True,False,
Curug Gendang,curug-gendang,air-terjun,Lampung,Lampung Selatan,Kecamatan Sumberjaya,Desa Margasari,"Curug Gendang, Kabupaten Lampung Selatan, Provinsi Lampung, Indonesia",-6.277778,105.858889,13147.46,15890.19,False,08:00,19:00,False,sat|sun,gazebo|parkir|warung_makan,"https://loremflickr.com/800/600/waterfall,indonesia?lock=153644749|https://loremflickr.com/800/600/waterfall,indonesia?lock=153644756|https://loremflickr.com/800/600/waterfall,indonesia?lock=153644762|https://loremflickr.com/800/600/waterfall,indonesia?lock=153644778",5.0,269,63,64298,4.72,3.81,4.82,1.67,1.67,79.44,08389487336,False,True,
Curug Luhur,curug-luhur,air-terjun,Banten,Kota Tangerang Selatan,Kecamatan Pondok,Kelurahan Cikalong,"Curug Luhur, Kota Tangerang Selatan, Provinsi Banten, Indonesia",-7.2325,106.816667,0,,True,08:00,17:00,False,mon|sat|sun|thu|tue|wed,anak|gazebo|papan_informasi|parkir|spot_foto|warung_makan,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Segarnya_air_di_Curug_Luhur.jpg/960px-Segarnya_air_di_Curug_Luhur.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Segarnya%20air%20di%20Curug%20Luhur.jpg?width=800|https://loremflickr.com/800/600/waterfall,indonesia?lock=3618886388|https://loremflickr.com/800/600/waterfall,indonesia?lock=3618886395",5.0,120,27,22275,3.32,4.67,4.86,3.7,2.42,82.15,08461739653,False,False,
Curug Cibeureum,curug-cibeureum,air-terjun,Jawa Barat,Kota Bandung,Kecamatan Sumberjaya,Desa Karang Sari,"Curug Cibeureum, Kota Bandung, Provinsi Jawa Barat, Indonesia",-7.183333,107.616667,16691.9,18393.75,False,07:00,19:00,False,sat|sun,gazebo|papan_informasi|parkir|pasangan|spot_foto|warung_makan,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Curug_Cibeureum.jpg/960px-Curug_Cibeureum.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/AIr%20Terjun%20Cibeureum.jpg?width=800|https://loremflickr.com/800/600/waterfall,indonesia?lock=2119736900|https://loremflickr.com/800/600/waterfall,indonesia?lock=2119736907",5.0,2,1,1145,4.1,3.86,4.56,2.15,3.35,76.54,08965163555,False,False,
