name,category,province,regency,latitude,longitude,qid,images
Air Terjun Gitgit,air-terjun,Bali,Buleleng,-8.1913,115.1347,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Air_Terjun_Gitgit.jpg/960px-Air_Terjun_Gitgit.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Gitgit%20Waterfall%2C%20Campuhan%20area%2C%20Bali%2C%20Indonesia.jpg?width=800
air terjun Dago,air-terjun,Jawa Barat,Kota Bandung,-6.865325,107.618149,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Taman_Hutan_Raya_IR_Djuanda.jpg/960px-Taman_Hutan_Raya_IR_Djuanda.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Curug%20Dago.jpg?width=800
Air terjun Madakaripura,air-terjun,Jawa Timur,Kota Probolinggo,-7.844722,113.0175,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Madakaripura_Waterfall_-_Indonesia.jpg/960px-Madakaripura_Waterfall_-_Indonesia.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Waterfall%20Madakaripura%20B.JPG?width=800
Air Terjun Sipisopiso,air-terjun,Aceh,Aceh Tenggara,2.9162,98.5196,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/AIR_TERJUN_SIPISO-PISO_%28SUMUT%29.jpg/960px-AIR_TERJUN_SIPISO-PISO_%28SUMUT%29.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Sipiso-Piso%20Falls%20Front%20View.jpg?width=800
Air Terjun Baruttung,air-terjun,Sulawesi Selatan,Bone,-4.77686,120.224876,,
Air Terjun Telun Berasap,air-terjun,Sumatera Barat,Pesisir Selatan,-1.68881,101.338381,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Air_Terjun_Telun_Berasap.jpg/960px-Air_Terjun_Telun_Berasap.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Air%20Terjun%20Telun%20Berasap.jpg?width=800
Air terjun Sikarim,air-terjun,Jawa Tengah,Wonosobo,-7.24236,109.90708,,https://upload.wikimedia.org/wikipedia/id/thumb/f/fa/Si_Karim.jpg/960px-Si_Karim.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Air%20Terjun%20Sikarim.jpg?width=800
Curug Gendang,air-terjun,Lampung,Lampung Selatan,-6.277778,105.858889,,
Curug Luhur,air-terjun,Banten,Kota Tangerang Selatan,-7.2325,106.816667,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Segarnya_air_di_Curug_Luhur.jpg/960px-Segarnya_air_di_Curug_Luhur.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Segarnya%20air%20di%20Curug%20Luhur.jpg?width=800
Curug Cibeureum,air-terjun,Jawa Barat,Kota Bandung,-7.183333,107.616667,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Curug_Cibeureum.jpg/960px-Curug_Cibeureum.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/AIr%20Terjun%20Cibeureum.jpg?width=800
